"customFlowLabel","deviceChosen","scanCompletedAt","severity","issueId","issueDescription","wcagConformance","url","pageTitle","context","howToFix","axeImpact","xpath","learnMore"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/articles/fact-sheet-president-trump-restoring-prosperity-safety-and-security-united-states-and","FACT SHEET: President Trump is Restoring Prosperity, Safety and Security for the United States and Venezuela | Department of Energy","<h3><strong>PRESIDENT TRUMP ANNOUNCES A HISTORIC US-VENEZUELA ENERGY DEAL TO SAFEGUARD AMERICA</strong></h3>","Fix any of the following:
  Heading order invalid","moderate",".field--text_default > h3:nth-child(1)","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/articles/energy-department-announces-new-partnership-nvidia-and-oracle-build-largest-doe-ai","Energy Department Announces New Partnership with NVIDIA and Oracle to Build Largest DOE AI Supercomputer | Department of Energy","<h3>Media Inquiries:</h3>","Fix any of the following:
  Heading order invalid","moderate",".group-section__item--start > h3","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/articles/us-department-energy-reverses-biden-lng-pause-restores-trump-energy-dominance-agenda","U.S. Department of Energy Reverses Biden LNG Pause, Restores Trump Energy Dominance Agenda | Department of Energy","<h3>Media Inquiries:</h3>","Fix any of the following:
  Heading order invalid","moderate",".group-section__item--start > h3","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","landmark-one-main","Ensure the document has a main landmark","cat.semantics,best-practice","https://www.energy.gov/genesis","Genesis Mission","<html lang=""en"" class=""bg-main-dark"" style=""color-scheme:dark"">","Fix all of the following:
  Document does not have a main landmark","moderate","html","https://dequeuniversity.com/rules/axe/4.11/landmark-one-main?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","landmark-unique","Ensure landmarks are unique","cat.semantics,best-practice","https://www.energy.gov/genesis","Genesis Mission","<div id=""faq-answer-0"" class=""overflow-hidden"" role=""region"" aria-labelledby=""faq-question-0"" style=""height:0px;opacity:0"">","Fix any of the following:
  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable","moderate","#faq-answer-0","https://dequeuniversity.com/rules/axe/4.11/landmark-unique?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Must Fix","nested-interactive","Ensure interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies","cat.keyboard,wcag2a,wcag412,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1","https://www.energy.gov/genesis","Genesis Mission","<div class=""absolute inset-0 z-40 flex cursor-pointer items-center justify-center"" role=""button"" tabindex=""0"" aria-label=""Play Genesis Mission announcement video"">","Fix any of the following:
  Element has focusable descendants","serious",".z-40","https://dequeuniversity.com/rules/axe/4.11/nested-interactive?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","region","Ensure all page content is contained by landmarks","cat.keyboard,best-practice,RGAAv4,RGAA-9.2.1","https://www.energy.gov/genesis","Genesis Mission","<div class=""hidden md:absolute md:left-6 md:flex md:items-center"">","Fix any of the following:
  Some page content is not contained by landmarks","moderate",".md\:left-6","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","region","Ensure all page content is contained by landmarks","cat.keyboard,best-practice,RGAAv4,RGAA-9.2.1","https://www.energy.gov/genesis","Genesis Mission","<div class=""hidden md:flex md:items-center md:gap-4"" data-name=""wrapper"">","Fix any of the following:
  Some page content is not contained by landmarks","moderate",".md\:gap-4","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","region","Ensure all page content is contained by landmarks","cat.keyboard,best-practice,RGAAv4,RGAA-9.2.1","https://www.energy.gov/genesis","Genesis Mission","<div class=""hidden md:absolute md:right-6 md:flex md:items-center""><p class=""font-mono text-[12px] leading-4 font-normal tracking-[0.72px] text-neutral-50 uppercase whitespace-pre"">09:34:05 EST</p></div>","Fix any of the following:
  Some page content is not contained by landmarks","moderate",".md\:right-6","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","region","Ensure all page content is contained by landmarks","cat.keyboard,best-practice,RGAAv4,RGAA-9.2.1","https://www.energy.gov/genesis","Genesis Mission","<section class=""relative"" aria-labelledby=""section-security"">","Fix any of the following:
  Some page content is not contained by landmarks","moderate","section[aria-labelledby=""section-security""]","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright"
